epoch,train_epoch_time(min),train_lr,train_loss,train_loss_aux,eval_loss,eval_top1,eval_top5,eval_loss_ema,eval_top1_ema,eval_top5_ema
0,43.5,1e-06,6.909956296284993,6.909761247180757,6.859888372802734,0.446,1.626,6.907998370361328,0.106,0.484
1,42.5,0.0001258,6.507361616407122,6.648671627044678,5.085069865417481,8.914,23.942,6.907941227722168,0.1,0.494
2,42.5,0.0002506,6.0352031616937545,6.407380399249849,4.110797257995605,19.41,42.294,6.908165854644776,0.098,0.494
3,42.4,0.0003754,5.744450296674456,6.165708042326427,3.500764126586914,29.334,55.716,6.909340859985352,0.098,0.5
4,42.7,0.0005002,5.431260018121629,5.891332512810116,3.0491608390808107,36.352,63.282,6.912611240386963,0.098,0.496
5,42.5,0.0006245785819370314,5.160009656633649,5.61164531253633,2.7790193756103516,40.736,67.926,6.918711805725097,0.098,0.504
6,42.3,0.0006243932189916935,4.963715825762067,5.400639647529239,2.5201844116210936,46.248,72.87,6.925514138031006,0.102,0.544
7,43.1,0.0006241742017465209,4.901455356961205,5.322739328656878,2.255421908569336,51.082,77.2,6.924621418762207,0.112,0.66
8,43.2,0.0006239215542192226,4.695576213655018,5.129213696434384,2.0963250381469725,54.662,79.864,6.915404415893555,0.232,0.862
9,42.3,0.0006236353041154471,4.620834827423096,5.054392224266415,2.0029710021972655,56.624,81.34,6.897431274414062,0.258,0.976
10,42.5,0.0006233154828257441,4.688957759312221,5.096408299037388,1.9013547969818114,57.69,82.32,6.870377694702149,0.358,1.236
11,42.3,0.0006229621254221219,4.348419291632516,4.799416246868315,1.8503723033905028,59.98,83.642,6.822244835662842,0.578,1.77
12,42.4,0.000622575270654202,4.353999035699027,4.803049223763602,1.7777297237396241,60.936,84.264,6.751816232299805,0.802,2.456
13,42.4,0.0006221549609449689,4.28795820190793,4.732717968168712,1.660995016860962,62.426,85.372,6.636441252136231,1.284,3.8
14,42.4,0.000621701242386119,4.20436353910537,4.664418833596366,1.6430803955078126,63.036,85.83,6.446790930175781,2.18,6.748
15,42.4,0.0006212141647330048,4.218341940925235,4.668192307154338,1.6162399436950683,64.288,86.778,6.1255463607788085,4.572,13.064
16,42.5,0.0006206937813991803,4.126043785186041,4.591137772514706,1.5635955299377442,65.078,87.206,5.639397822570801,9.694,24.198
17,42.4,0.0006201401494505418,4.1017679032825285,4.586182367234003,1.5158822830200196,65.9,87.422,5.06808104095459,17.098,36.752
18,42.4,0.0006195533295990718,4.151136693500337,4.611363910493397,1.578206509399414,65.962,87.586,4.4341309448242185,26.1,49.482
19,43.0,0.0006189333861961795,4.250499884287517,4.719238145010812,1.504074171447754,66.726,88.398,3.7960548278808592,35.128,60.264
20,42.3,0.0006182803872256452,4.04695250874474,4.52014878817967,1.501863514328003,66.998,88.518,3.2266320415496828,43.108,68.546
21,42.4,0.0006175944042961649,3.993343228385562,4.4615035738263815,1.4054164833068847,67.792,88.77,2.7524668869018556,49.61,74.836
22,42.5,0.0006168755126334968,3.989948931194487,4.454712572551909,1.3785975898742675,68.602,89.194,2.3936856742858885,54.646,79.31
23,42.4,0.0006161237910722132,3.9635673591068814,4.431500979832241,1.3860951946258544,68.718,89.346,2.12126667137146,58.526,82.37
24,42.4,0.0006153393220470541,3.9156012194497243,4.38728700365339,1.3958444122314453,68.62,89.394,1.9116215492248536,61.686,84.672
25,42.5,0.0006145221915838885,3.8468413125900995,4.318994363149007,1.4218891868591308,69.088,89.578,1.7631190181732177,63.994,86.314
26,42.3,0.00061367248929028,3.858369475319272,4.347964059738886,1.4167473571777345,69.294,89.748,1.644921502304077,65.94,87.516
27,42.6,0.00061279030834566,3.8216023331596736,4.305066733133225,1.3406952964782715,70.166,90.234,1.554951141357422,67.512,88.61
28,42.3,0.0006118757454911107,3.9879438195909773,4.465640204293387,1.3084150207519532,70.228,90.176,1.4872643291473389,68.726,89.328
29,42.4,0.0006109289010187551,3.844108990260533,4.33520972161066,1.3704813098907471,70.264,90.306,1.4303377925872802,69.792,89.902
30,42.4,0.0006099498787607597,3.7620423975444974,4.25273170925322,1.3051835037231445,70.514,90.338,1.3854456962585449,70.606,90.42
31,42.3,0.0006089387860779477,3.866027343840826,4.353721947897048,1.2581057235717774,70.85,90.692,1.3465999744415282,71.426,90.802
32,42.4,0.0006078957338480255,3.7356789339156378,4.24945760908581,1.2860680522918702,71.032,90.812,1.3122719551086426,72.04,91.118
33,42.4,0.0006068208364534244,3.885226612999326,4.379039741697765,1.314691298675537,70.924,90.646,1.283418096923828,72.492,91.378
34,42.3,0.0006057142117687566,3.7688359078906832,4.257333108357021,1.270042317199707,71.262,90.844,1.2605018592834472,72.926,91.62
35,42.4,0.0006045759811478895,3.8315684568314325,4.322473480587914,1.2802511657714843,70.964,90.642,1.2375755004882814,73.3,91.806
36,42.3,0.0006034062694106373,3.7853373005276634,4.2715236232394265,1.2710660873413087,71.216,90.992,1.2211263364791871,73.704,92.03
37,42.3,0.0006022052048290734,3.8096688929058256,4.309456053234282,1.254597646713257,71.698,91.114,1.2036361629486083,73.892,92.182
38,42.6,0.0006009729191134639,3.7912775107792447,4.2997685841151645,1.2514606266021728,71.89,91.142,1.187641344833374,74.17,92.372
39,42.7,0.0005997095473978241,3.742891561417353,4.240283103216262,1.2468824836730956,71.798,91.196,1.1744556861877442,74.436,92.466
40,42.3,0.0005984152282250998,3.726598694210961,4.2245357150123235,1.2150762241363526,72.084,91.304,1.1611421447753907,74.618,92.606
