epoch,train_epoch_time(min),train_lr,train_loss,train_loss_aux,eval_loss,eval_top1,eval_top5,eval_loss_ema,eval_top1_ema,eval_top5_ema
0,43.1,1e-06,6.907736619313558,6.90767901284354,6.860076170349121,0.398,1.762,6.908076876068115,0.1,0.494
1,43.2,0.00020899999999999998,6.399559111822219,6.509159428732736,4.712137147521973,12.466,31.114,6.909141367340088,0.13,0.532
2,43.0,0.000417,5.863837650844029,6.1468220211210705,3.71509221496582,24.772,49.91,6.853275955200195,0.202,1.194
3,43.1,0.0006212141647330048,5.501422132764544,5.897850717817034,3.1335062049865723,34.378,61.328,6.484047671508789,1.488,5.226
4,43.0,0.0006182803872256452,5.251170589810326,5.733725638616653,2.715745736694336,42.422,69.198,4.9708716087341305,15.782,35.604
5,43.1,0.0006145221915838885,4.984241803487142,5.5392050970168345,2.387901721954346,48.358,74.452,3.056784976196289,40.612,67.184
6,43.1,0.0006099498787607597,4.739622592926025,5.325001989092145,2.243861559677124,51.77,77.454,2.3654231155395506,51.064,76.492
7,43.1,0.0006045759811478895,4.722201744715373,5.2914203235081265,2.134697422027588,54.562,79.51,2.0888178272247315,55.874,80.166
8,43.0,0.0005984152282250998,4.6186574300130205,5.212295237041655,1.929642315673828,57.372,81.74,1.920704619216919,58.668,82.344
9,43.7,0.0005914845061879232,4.560502801622663,5.160136722383045,1.9336691314697265,58.47,82.666,1.799434774017334,60.862,84.062
10,43.3,0.000583802811663715,4.4381453309740335,5.042659577869234,1.8137039505004884,60.272,84.076,1.711563425064087,62.55,85.36
11,43.0,0.0005753911996432179,4.367908455076671,4.978832676297142,1.7662398006439208,61.09,84.438,1.6372147891998292,63.988,86.262
12,43.1,0.0005662727257702963,4.279643081483387,4.894293489910307,1.7255894485473633,62.51,85.312,1.576172904586792,65.098,87.022
13,43.2,0.0005564723831480185,4.265311161677043,4.875620796566918,1.6178803413391114,63.748,86.264,1.5276351119995117,66.244,87.778
14,43.0,0.0005460170338342987,4.254002151035127,4.856563204810733,1.617007063293457,64.202,86.528,1.4839290382385253,67.036,88.292
15,43.1,0.0005349353352148634,4.268670683815365,4.880626428694952,1.6145375484466553,64.72,86.764,1.4421781898498536,67.814,88.68
16,43.1,0.0005232576614553489,4.149680251166934,4.762197244734991,1.522080779647827,65.868,87.596,1.4072659366607665,68.56,89.098
17,43.0,0.000511016020247825,4.165112336476644,4.752277533213298,1.528664365386963,66.6,88.178,1.3791769889831542,69.24,89.53
18,44.1,0.0004982439650799354,4.201977184840611,4.800372623261952,1.517117420578003,66.756,88.088,1.3509155124664307,69.738,89.806
19,43.0,0.0004849765032671209,4.201400495710827,4.788867587134952,1.4738555137634277,67.812,88.802,1.323236908340454,70.288,90.138
20,43.0,0.00047125,3.9666429247174944,4.558654569444203,1.4353737289428712,68.158,88.96,1.301283097076416,70.886,90.382
21,43.1,0.0004571020786699106,3.930079868861607,4.528121471405029,1.4127295555114745,68.782,89.304,1.281020964050293,71.246,90.636
22,43.1,0.00044257151774580863,3.960102058592297,4.544176567168463,1.3950882583618165,69.252,89.672,1.2614762428283692,71.756,90.904
23,43.0,0.0004276981444851799,3.9713378860836936,4.553771597998483,1.351307218170166,69.522,89.914,1.2439103992462157,72.018,91.118
24,43.1,0.00041252272577029637,3.876316104616438,4.4642166637239,1.367644583129883,70.166,90.15,1.229376544189453,72.352,91.31
25,43.0,0.00039708685636902517,3.866471699305943,4.453973565782819,1.3903261451721192,70.496,90.142,1.2122886440277099,72.778,91.49
26,43.3,0.00038143284492646095,3.807819900058565,4.39476676214309,1.2985869171142579,70.822,90.654,1.1974066776275636,73.096,91.71
27,43.0,0.000365603597999871,3.885572910308838,4.452549162365141,1.2764518621444703,71.266,90.8,1.1875543384552,73.31,91.902
28,43.6,0.00034964250245480346,3.7770852474939254,4.374526443935576,1.2739905555725097,71.25,90.98,1.1749286167144775,73.576,92.008
29,43.3,0.00033359330654470523,3.7471798601604642,4.327995845249721,1.2744570049285888,71.916,91.068,1.1672693019866944,73.85,92.166
30,43.3,0.0003175000000000001,3.7758525780269077,4.370548691068377,1.2529533811569213,72.288,91.31,1.1535410140991211,74.234,92.256
31,43.0,0.00030140669345529486,3.7234702791486467,4.322792734418597,1.2285767259597777,72.798,91.686,1.1420430406570434,74.444,92.376
32,43.3,0.00028535749754519664,3.721771024522327,4.319338435218448,1.2254651391983031,72.904,91.686,1.130774545097351,74.676,92.49
33,43.4,0.000269396402000129,3.654795907792591,4.242432798658099,1.2086954029083252,73.208,91.886,1.1219183099746703,74.84,92.638
34,43.2,0.000253567155073539,3.6920007524036227,4.266537223543439,1.2022329599380492,73.526,91.918,1.1123738971710204,75.088,92.77
35,43.1,0.0002379131436309749,3.677077951885405,4.271660418737502,1.1943423851013184,73.752,92.134,1.1043743927001952,75.38,92.842
36,43.1,0.00022247727422970367,3.58172599474589,4.1985754399072555,1.1868877311706543,73.984,92.056,1.095469326400757,75.5,92.91
37,43.2,0.00020730185551482016,3.6014067104884555,4.200072878882999,1.1447566410064698,74.354,92.396,1.0908138278961181,75.612,92.972
38,43.1,0.0001924284822541915,3.635381585075742,4.231537659962972,1.1389846990585326,74.646,92.544,1.0815362854003907,75.85,93.062
39,43.4,0.00017789792133008936,3.4857476892925443,4.081638392947969,1.136197137260437,74.918,92.668,1.0727151639938355,75.99,93.17
40,43.1,0.00016375000000000008,3.61191379456293,4.216464962278094,1.138941804122925,74.95,92.874,1.066365286254883,76.074,93.27
41,43.5,0.00015002349673287927,3.4287375722612654,4.033148231960478,1.1210482107162476,75.308,92.85,1.0599416868209839,76.238,93.336
42,43.1,0.00013675603492006454,3.507755676905314,4.110206797009423,1.1273452571868896,75.588,92.948,1.0556082391738892,76.384,93.372
43,43.2,0.00012398397975217504,3.558314334778559,4.167784338905697,1.0903185737609864,75.792,93.098,1.0501510314941407,76.452,93.408
44,43.2,0.00011174233854465119,3.3955807912917364,3.9960677850814093,1.0675629455566407,76.028,93.276,1.0465471532821655,76.644,93.494
45,43.3,0.00010006466478513666,3.4052919092632474,4.0054442428407215,1.1145933456420898,75.924,93.33,1.0445470531463623,76.728,93.618
46,43.4,8.898296616570134e-05,3.429932719185239,4.033952009110224,1.0842200794219972,76.3,93.406,1.0361032680511475,76.872,93.708
47,43.4,7.852761685198144e-05,3.4880330903189525,4.114714350019183,1.0521201677322387,76.504,93.524,1.0299060945510865,76.964,93.72
48,43.1,6.872727422970369e-05,3.3903220153990246,4.006511188688732,1.0468965496063232,76.666,93.58,1.0300471282958985,76.958,93.728
49,43.4,5.960880035678213e-05,3.4485705012366887,4.068105288914272,1.035808390045166,76.73,93.648,1.0270299757003785,77.004,93.738
50,43.2,5.1197188336285096e-05,3.542312951315017,4.160370134171986,1.0424865140914916,76.996,93.708,1.0252188053131104,77.066,93.78
51,43.3,4.35154938120769e-05,3.41789562361581,4.056641590027582,1.025246915435791,76.864,93.742,1.0235513248443604,77.194,93.84
52,43.4,3.65847717749002e-05,3.340763671057565,3.9610970587957475,1.0515839641571045,77.02,93.796,1.020315230369568,77.264,93.888
53,43.4,3.0424018852110464e-05,3.3291059335072837,3.9438474745977494,1.0180049154281616,77.168,93.842,1.017124892807007,77.31,93.912
54,43.4,2.5050121239240292e-05,3.360570476168678,3.9857587133135115,1.0168146228790282,77.3,93.884,1.0139996091842651,77.288,93.9
55,43.4,2.0477808416111492e-05,3.301499162401472,3.9308152879987444,1.0456121179580689,77.204,93.964,1.015230627822876,77.326,93.946
56,43.2,1.671961277435475e-05,3.4215324379148937,4.0525986126491,1.0065708520889283,77.396,93.972,1.0135786441802979,77.32,93.97
57,43.3,1.3785835266995171e-05,3.494294382276989,4.141585883640108,1.0172153297424316,77.402,94.002,1.0109376693725587,77.398,93.992
58,43.1,1.168451717425593e-05,3.4091664722987582,4.055734816051665,0.9915276588439942,77.48,93.966,1.0110678157806396,77.446,94.006
59,43.3,1.0421418062968547e-05,3.271397840409052,3.8937494527725947,1.0031508823394775,77.492,93.956,1.010666926574707,77.426,94.004
60,43.2,1e-05,3.405760106586275,4.04486422311692,1.0092156242370605,77.42,93.976,1.0087322954177858,77.468,94.012
61,43.1,1e-05,3.3448814891633534,3.979073615301223,1.010417006111145,77.472,93.998,1.0067474277496338,77.484,94.022
62,43.3,1e-05,3.3446453639439175,3.977282319750105,0.9988589500427246,77.508,94.052,1.0068243343353271,77.484,94.03
63,43.3,1e-05,3.414464451017834,4.053488527025495,1.008164507293701,77.47,94.03,1.0065302322387695,77.522,94.064
64,43.2,1e-05,3.4272660414377847,4.058772541227794,0.9935769649505615,77.534,94.032,1.007888360977173,77.532,94.06
